year,district,name,sex,party,vote_count,vote_percent
2017,Bristol and Norfolk,Paul R. Feeney,m,Democratic,"6,985",47.3
2017,Fourth Middlesex,Cindy F. Friedman,f,Democratic,"7,876",88.7
2016,"Berkshire, Hampshire and Franklin",Adam G. Hinds,m,Democratic,"53,216",70.1
2016,Bristol and Norfolk,James E. Timilty,m,Democratic,"66,611",99.3
2016,First Bristol and Plymouth,Michael J. Rodrigues,m,Democratic,"54,618",99.4
2016,Second Bristol and Plymouth,Mark C. Montigny,m,Democratic,"53,882",99
2016,Cape and Islands,Julian Andre Cyr,m,Democratic,"59,974",56.9
2016,First Essex,Kathleen A. O'Connor Ives,f,Democratic,"65,131",99.1
2016,Second Essex,Joan B. Lovely,f,Democratic,"67,120",98.9
2016,Third Essex,Thomas M. McGee,m,Democratic,"58,844",99.1
2016,First Essex and Middlesex,Bruce E. Tarr,m,Republican,"77,851",99.2
2016,Second Essex and Middlesex,Barbara A. L'Italien,f,Democratic,"45,218",63.4
2016,Hampden,James T. Welch,m,Democratic,"45,061",98.3
2016,First Hampden and Hampshire,Eric P. Lesser,m,Democratic,"44,602",55.8
2016,Second Hampden and Hampshire,"Donald F. Humason, Jr",m,Republican,"43,097",59.5
2016,"Hampshire, Franklin and Worcester",Stanley C. Rosenberg,m,Democratic,"62,286",81.6
2016,First Middlesex,Eileen M. Donoghue,f,Democratic,"56,759",98.6
2016,Second Middlesex,Patricia D. Jehlen,f,Democratic,"75,777",98.5
2016,Third Middlesex,Michael J. Barrett,m,Democratic,"64,554",98.7
2016,Fourth Middlesex,Kenneth J. Donnelly,m,Democratic,"68,540",99
2016,Fifth Middlesex,Jason M. Lewis,m,Democratic,"52,954",68.9
2016,First Middlesex and Norfolk,Cynthia Stone Creem,f,Democratic,"62,668",99
2016,Second Middlesex and Norfolk,Karen E. Spilka,f,Democratic,"61,230",98.5
2016,Middlesex and Worcester,James B. Eldridge,m,Democratic,"55,698",64.2
2016,Middlesex and Suffolk,Sal N. DiDomenico,m,Democratic,"53,022",98.9
2016,"Norfolk, Bristol and Middlesex",Richard J. Ross,m,Republican,"49,776",60
2016,"Norfolk, Bristol and Plymouth","Walter F. Timilty, Jr.",m,Democratic,"56,466",73.7
2016,Norfolk and Plymouth,John F. Keenan,m,Democratic,"50,148",71
2016,Norfolk and Suffolk,Michael F. Rush,m,Democratic,"66,792",98.7
2016,Plymouth and Barnstable,Vinny M. deMacedo,m,Republican,"69,474",99.3
2016,Plymouth and Norfolk,Patrick M. O'Connor,m,Republican,"52,440",56.5
2016,Plymouth and Norfolk,Patrick M. O'Connor,m,Republican,"9,047",52.6
2016,First Plymouth and Bristol,Marc R. Pacheco,m,Democratic,"52,915",65.3
2016,Second Plymouth and Bristol,Michael D. Brady,m,Democratic,"56,156",99.4
2016,First Suffolk,Linda Dorcena Forry,f,Democratic,"59,874",98.4
2016,Second Suffolk,Sonia Rosa Chang-Diaz,f,Democratic,"58,705",98.8
2016,First Suffolk and Middlesex,Joseph A. Boncore,m,Democratic,"50,978",98.2
2016,First Suffolk and Middlesex,Joseph A. Boncore,m,Democratic,"2,429",89.4
2016,Second Suffolk and Middlesex,William N. Brownsberger,m,Democratic,"56,011",98.6
2016,Worcester and Middlesex,Jennifer L. Flanagan,f,Democratic,"59,860",99.1
2016,Worcester and Norfolk,Ryan C. Fattman,m,Republican,"64,665",98.4
2016,"Worcester, Hampden, Hampshire and Middlesex",Anne M. Gobi,f,Democratic,"44,021",54.4
2016,First Worcester,Harriette L. Chandler,f,Democratic,"56,545",98.1
2016,Second Worcester,Michael O. Moore,m,Democratic,"55,093",74
2015,Second Plymouth and Bristol,Michael D. Brady,m,Democratic,"14,397",56.9
2014,"Berkshire, Hampshire and Franklin",Benjamin B. Downing,m,Democratic,"40,795",99.6
2014,Bristol and Norfolk,James E. Timilty,m,Democratic,"38,762",99.1
2014,First Bristol and Plymouth,Michael J. Rodrigues,m,Democratic,"26,022",65.3
2014,Second Bristol and Plymouth,Mark C. Montigny,m,Democratic,"28,945",98.7
2014,Cape and Islands,Daniel A. Wolf,m,Democratic,"46,960",62.4
2014,First Essex,Kathleen A. O'Connor Ives,f,Democratic,"30,107",53.8
2014,Second Essex,Joan B. Lovely,f,Democratic,"44,386",98.8
2014,Third Essex,Thomas M. McGee,m,Democratic,"39,528",98.9
2014,First Essex and Middlesex,Bruce E. Tarr,m,Republican,"57,641",99.4
2014,Second Essex and Middlesex,Barbara A. L'Italien,f,Democratic,"24,559",53.2
2014,Hampden,James T. Welch,m,Democratic,"25,271",98
2014,First Hampden and Hampshire,Eric Philip Lesser,m,Democratic,"28,153",50.4
2014,Second Hampden and Hampshire,"Donald F. Humason, Jr",m,Republican,"27,817",56.6
2014,"Hampshire, Franklin and Worcester",Stanley C. Rosenberg,m,Democratic,"44,012",99.1
2014,First Middlesex,Eileen M. Donoghue,f,Democratic,"32,835",98
2014,Second Middlesex,Patricia D. Jehlen,f,Democratic,"41,685",75.5
2014,Third Middlesex,Michael J. Barrett,m,Democratic,"34,750",59.2
2014,Fourth Middlesex,Kenneth J. Donnelly,m,Democratic,"45,974",98.9
2014,Fifth Middlesex,Jason M. Lewis,m,Democratic,"10,611",53
2014,Fifth Middlesex,Jason M. Lewis,m,Democratic,"32,143",56.8
2014,First Middlesex and Norfolk,Cynthia Stone Creem,f,Democratic,"43,655",98.8
2014,Second Middlesex and Norfolk,Karen E. Spilka,f,Democratic,"38,191",98.3
2014,Middlesex and Worcester,James B. Eldridge,m,Democratic,"45,379",98.6
2014,Middlesex and Suffolk,Sal N. DiDomenico,m,Democratic,"31,575",98.8
2014,"Norfolk, Bristol and Middlesex",Richard J. Ross,m,Republican,"34,952",61
2014,"Norfolk, Bristol and Plymouth",Brian A. Joyce,m,Democratic,"41,348",98.9
2014,Norfolk and Plymouth,John F. Keenan,m,Democratic,"32,679",66
2014,Norfolk and Suffolk,Michael F. Rush,m,Democratic,"42,954",98.7
2014,Plymouth and Barnstable,Vinny M. deMacedo,m,Republican,"38,250",61.1
2014,Plymouth and Norfolk,"Robert L. Hedlund, Jr",m,Republican,"55,294",99.1
2014,First Plymouth and Bristol,Marc R. Pacheco,m,Democratic,"31,538",60.9
2014,Second Plymouth and Bristol,Thomas P. Kennedy,m,Democratic,"29,522",66.5
2014,First Suffolk,Linda Dorcena Forry,f,Democratic,"32,298",83.7
2014,Second Suffolk,Sonia Rosa Chang-Diaz,f,Democratic,"33,742",89.8
2014,First Suffolk and Middlesex,Anthony W. Petruccelli,m,Democratic,"30,523",98.1
2014,Second Suffolk and Middlesex,William N. Brownsberger,m,Democratic,"30,514",98.2
2014,Worcester and Middlesex,Jennifer L. Flanagan,f,Democratic,"29,133",60.4
2014,Worcester and Norfolk,Ryan C. Fattman,m,Republican,"29,774",55.7
2014,"Worcester, Hampden, Hampshire and Middlesex",Anne M. Gobi,f,Democratic,"27,847",50.3
2014,First Worcester,Harriette L. Chandler,f,Democratic,"27,576",60.2
2017,Bristol and Norfolk,Paul R. Feeney,m,Democratic,"6,985",47.3
2017,Fourth Middlesex,Cindy F. Friedman,f,Democratic,"7,876",88.7
2016,"Berkshire, Hampshire and Franklin",Adam G. Hinds,m,Democratic,"53,216",70.1
2016,Bristol and Norfolk,James E. Timilty,m,Democratic,"66,611",99.3
2016,First Bristol and Plymouth,Michael J. Rodrigues,m,Democratic,"54,618",99.4
2016,Second Bristol and Plymouth,Mark C. Montigny,m,Democratic,"53,882",99
2016,Cape and Islands,Julian Andre Cyr,m,Democratic,"59,974",56.9
2016,First Essex,Kathleen A. O'Connor Ives,f,Democratic,"65,131",99.1
2016,Second Essex,Joan B. Lovely,f,Democratic,"67,120",98.9
2016,Third Essex,Thomas M. McGee,m,Democratic,"58,844",99.1
2016,First Essex and Middlesex,Bruce E. Tarr,m,Republican,"77,851",99.2
2016,Second Essex and Middlesex,Barbara A. L'Italien,f,Democratic,"45,218",63.4
2016,Hampden,James T. Welch,m,Democratic,"45,061",98.3
2016,First Hampden and Hampshire,Eric P. Lesser,m,Democratic,"44,602",55.8
2016,Second Hampden and Hampshire,"Donald F. Humason, Jr",m,Republican,"43,097",59.5
2016,"Hampshire, Franklin and Worcester",Stanley C. Rosenberg,m,Democratic,"62,286",81.6
2016,First Middlesex,Eileen M. Donoghue,f,Democratic,"56,759",98.6
2016,Second Middlesex,Patricia D. Jehlen,f,Democratic,"75,777",98.5
2016,Third Middlesex,Michael J. Barrett,m,Democratic,"64,554",98.7
2016,Fourth Middlesex,Kenneth J. Donnelly,m,Democratic,"68,540",99
2016,Fifth Middlesex,Jason M. Lewis,m,Democratic,"52,954",68.9
2016,First Middlesex and Norfolk,Cynthia Stone Creem,f,Democratic,"62,668",99
2016,Second Middlesex and Norfolk,Karen E. Spilka,f,Democratic,"61,230",98.5
2016,Middlesex and Worcester,James B. Eldridge,m,Democratic,"55,698",64.2
2016,Middlesex and Suffolk,Sal N. DiDomenico,m,Democratic,"53,022",98.9
2016,"Norfolk, Bristol and Middlesex",Richard J. Ross,m,Republican,"49,776",60
2016,"Norfolk, Bristol and Plymouth","Walter F. Timilty, Jr.",m,Democratic,"56,466",73.7
2016,Norfolk and Plymouth,John F. Keenan,m,Democratic,"50,148",71
2016,Norfolk and Suffolk,Michael F. Rush,m,Democratic,"66,792",98.7
2016,Plymouth and Barnstable,Vinny M. deMacedo,m,Republican,"69,474",99.3
2016,Plymouth and Norfolk,Patrick M. O'Connor,m,Republican,"52,440",56.5
